MAC:f8:17:2d:9c:b4:69;;;;
Date;Temperature( ? );Humidity( % );DewPoint( ? );VPD( kPa )
09/13/2025 14:00;31,1;37,4;14,84;2,83
09/13/2025 15:00;25,5;44,4;12,48;1,81
09/13/2025 16:00;25,3;43,7;12,05;1,82
09/13/2025 17:00;25,2;44,1;12,1;1,79
09/13/2025 18:00;24,8;45,7;12,28;1,7
09/13/2025 19:00;25,1;49,5;13,78;1,61
09/13/2025 20:00;24,7;50,7;13,78;1,53
09/13/2025 21:00;24,7;50,1;13,6;1,55
09/13/2025 22:00;24,4;49,4;13,11;1,55
09/13/2025 23:00;23,7;51;12,95;1,44
09/14/2025 00:00;23,9;50,6;13,02;1,47
09/14/2025 01:00;23,7;50,4;12,77;1,45
09/14/2025 02:00;23,7;50,5;12,8;1,45
09/14/2025 03:00;23,6;50,5;12,71;1,44
09/14/2025 04:00;23,4;50,6;12,56;1,42
09/14/2025 05:00;23,4;50,7;12,59;1,42
09/14/2025 06:00;23,3;50,9;12,56;1,4
09/14/2025 07:00;23,2;51,4;12,61;1,38
09/14/2025 08:00;23,2;52;12,79;1,36
09/14/2025 09:00;23,2;54,3;13,45;1,3
09/14/2025 10:00;23,5;55,5;14,07;1,29
09/14/2025 11:00;23,4;55;13,84;1,3
09/14/2025 12:00;23,6;55,2;14,08;1,3
09/14/2025 13:00;23,6;54,6;13,91;1,32
09/14/2025 14:00;23,7;53,8;13,77;1,35
09/14/2025 15:00;24,7;48,7;13,16;1,6
09/14/2025 16:00;24,9;46;12,47;1,7
09/14/2025 17:00;24,9;42;11,09;1,83
09/14/2025 18:00;24,4;44,9;11,65;1,68
09/14/2025 19:00;24,5;50,3;13,48;1,53
09/14/2025 20:00;24,3;54,6;14,56;1,38
09/14/2025 21:00;23,7;56,2;14,45;1,28
09/14/2025 22:00;23,7;56,1;14,42;1,29
09/14/2025 23:00;23,8;55,4;14,32;1,31
09/15/2025 00:00;23,8;55;14,21;1,33
09/15/2025 01:00;23,7;54,9;14,09;1,32
09/15/2025 02:00;23,7;54,9;14,09;1,32
09/15/2025 03:00;23,6;54,8;13,96;1,32
09/15/2025 04:00;23,5;54,7;13,84;1,31
09/15/2025 05:00;23,4;54,6;13,72;1,31
09/15/2025 06:00;23,4;54,4;13,67;1,31
09/15/2025 07:00;23;54;13,18;1,29
09/15/2025 08:00;23,2;54,6;13,54;1,29
09/15/2025 09:00;23,4;54,6;13,72;1,31
09/15/2025 10:00;23,4;56,5;14,25;1,25
09/15/2025 11:00;23,8;57,1;14,79;1,26
09/15/2025 12:00;24,1;57,4;15,15;1,28
09/15/2025 13:00;25,4;50,8;14,45;1,6
09/15/2025 14:00;24,9;51,8;14,3;1,52
09/15/2025 15:00;25,1;50;13,93;1,59
09/15/2025 16:00;25,2;47,8;13,33;1,67
09/15/2025 17:00;24,9;45,8;12,41;1,71
09/15/2025 18:00;24,8;45,5;12,22;1,71
09/15/2025 19:00;25,2;41,2;11,07;1,88
09/15/2025 20:00;25,4;55,9;15,95;1,43
09/15/2025 21:00;25,1;58,2;16,3;1,33
09/15/2025 22:00;24,9;58,1;16,08;1,32
09/15/2025 23:00;24,9;57;15,79;1,35
09/16/2025 00:00;24,4;57,5;15,46;1,3
09/16/2025 01:00;24,2;57,5;15,27;1,28
09/16/2025 02:00;24;57,6;15,11;1,27
09/16/2025 03:00;23,9;57,5;14,99;1,26
09/16/2025 04:00;23,8;57,4;14,87;1,26
09/16/2025 05:00;23,7;57,4;14,78;1,25
09/16/2025 06:00;23,6;57,4;14,68;1,24
09/16/2025 07:00;21,7;62,3;14,17;0,98
